user_id,comment
@ebiy_katsu,"Apakah musik2 yg dimainkan bisa dikategorikan sebagai ""budaya"" negara kita?
Apakah intensitas suaranya beneran bisa dinikmati secara normal..?
Gitu aja si..."
@vandivx,"wah kalo saya yg tinggal di bandung keliatan na di pihak yg gk suka berisik dan akan terganggu kalo ada yg kayak gini, kelurahan dkt rumah aja udah malam sekitar jam 8an berisik musik keras2 saya tegur minta dikecilin.. kalo siang mungkin msh toleransi (kecuali ada orang sakit pasti komplain) tp kalo udah malam waktunya orang kerja istirahat di rumah tiba2 ada yg pasang musik outdoor keras2 lsg saya komplain.. ngerti mereka mungkin sambil ngumpul butuh musik buat hiburan tp kan cukup didengar ama mereka aja gk mesti hrs se rw kebisingan.."
@farghietazakka5696,Ya sound horeg si ga masalah ya kalau di tempatkan di tempat yg bener kek tengah lapangan yg luas yg jauh dr rumah warga.. kalau di pakai saat di jalan apalagi lewat rumah warga mengganggu meresahkan warga.. apalagi sampai merusak merusak.. illfeel gw
@berotakbaruberontak,"awas bang, hati2, ntar diserang penikmat horeg. Kayak konten gw yg diserang ama mereka "
@rjvmvss,"Saya jelasin ya mas. Bisa kamu sematkan komentar ini!

Sound horeg itu lahir sekitar tahun 2016 hingga saat ini. Karena saya orang Jawatimur. Dan gak semena mena ada sound horeg tanpa ada yang mengundang. Sound horeg itu ada karena ada yang suka. 

Acara karnaval horeg juga diadakan oleh warga setempat, musyawarah, pembahasan tentang kerusakan yang akan ditimbulkan, orang yang lagi sakit, atau bayi. Nanti akan dibuat peraturan suara tentang hal itu. Jadi, sound horeg ini bukan oknum lagi, tapi memang dari banyak kalangan yang menyetujui adanya karnaval ini. 


Pernah didesaku kumpulan, ternyata gak jadi karena jalan nasional. Dan para warga juga banyak yang gak setuju. Maka ditiadakanlah acaranya. Kalau mereka setuju, ya lanjut.

Mungkin sekian mas stevanyoung yang terhormat. Kami para pelaku rental sound juga mengikuti apa permintaan penyewa. Jadi kami gak semena mena untuk langsung menyetel musik dengan keras tanpa persetujuan. 

Untuk masalah kerusakan, semua ditanggung panitia, kadang yang nyewa sound mengganti kerusakan itu. Terus untuk bayi yang meninggal karena acara itu, kebanyakan ikut ortunya untuk melihat sound horeg. Misal desa A mengadakan karnaval, warga desa B ada yang melihat dan bawa bayi. Gua saksi kok. Banyak banget yang kauqk gitu.

Jadi acara kayak gini sudah ditentukan tempatnya, sesuai dengan perjanjian. Gua juga risih kok kalau mereka tiba tiba ceksound horeg tanpa ada acara apa apa. Terimakasih  mohon disematkan agar masyarakat banyak yang paham dan tidak menelaah mentah mentah!"
@cahyaprayoga0475,gw jawa tapi alhamdulillah komplek gw ga pernah ada horeg
@JuraganBatik,"BELIAU INI SEDANG UJI NYALI. 
Sebentar lagi channel ini akan penuh dengan kata-kata mutiara dari SANG PENDUKUNG sonsisteemmbudek."
@syifaassyifa3429,"Jujur saya orang jawa dan anak yang tidak senang dengan sound horeg, tapi bang Steven pernah liat nggak panitia sound horeg itu terkadang udh nyiapin uang untuk kerusakan² yang terjadi.... Vidionya ada dan udh di jelasin sama panitia penyelenggara dan ketua dari sound horegnya"
@kuterakatsuki6857,"Coba mas liat youtuber ini @DotCo
Dari jakarta lngsung ke malang. Untuk membuktikan pada suka atau tidak warga sana. Bukan cuma katanya katanya.
Dan abang orang jawa timur kan.
Coba kalo mau bikin konten tentang sound horeg. Terjun langsung tanya penyewa atau bos yng punya sound.
Jangan katanya katanya aja lah. Saya tunggu konten anda tentang sound horeg dari pihak yg terkait disitu.
Trimakasih"
@alfonsusenggarbramantyo381,gw orang jawa tapi malah ngak demen sama sound horeg 
@jorengespyur,"saya bbrpa waktu lalu komen di video volix media yg mengangkat isu ini. dan dari bbrpa balasan di komentar saya bisa saya simpulkan bahwa bbrpa balasan komentar mereka membenarkan ucapan netizen mengenai SDM. saya yakin tidak semua pecinta sound horeg itu barbar seperti segelintir orang yg ada di balasan komentar itu,. tp karna ulah mereka itu yg bikin netizen semakin percaya dengan hinaan mengenai SDM itu. ingat saya bilangnya segelintir orang bukan semua. pahami dulu konteks nya sebelum mengomentari, bijaklah dalam bersosial media,.."
@Imam.salatiga,"Lucu,padahal horeg cuma di lokasi tertentu dan lokasinya sudah di sepakati bersama ,tapi yg repot yg nonton lewat sosmed "
@Harisgaming12345,"7:23 jujur sebagai penonton lu yang dari Malaysia,Gw ga abis pikir bisa ada ""budaya"" kayak sound horeg ini
Gw kalo lewat meme tentang nih topik,pasti ""Apaan dah di sukai sama sound horeg?Bass gitu daripada laguLu mau denger Suara kenceng rame2,sana sama orang yang sepemikiran""
Kalo hobi mahal,kenapa gak tanggungjawab kalo ada kerusakan sekitar?(kalo ada yang ganti rugi,gw respect)"
@ccayyie,"gua jatim, sound horeg gini perna dipasang pas di depan rumah gua karna saat itu ada acara buat agustusan. jujur gua keganggu bgt sama suaranya, malem malem jam 11 sampe jam 3 dinyalain terus sampe telinga gua sakit. komplain ke rt malah rt nya ga ngedengerin cuma bilang maaf' doang. yang gua heranin ko bisa ada orang yang ""demen"" sama sound horeg gini. saran gua si kalo punya hobby yg bener dan jangan yg ngerugiin orang lain."
@w-ch99,"dibilang ekonomi menengah kebawah si kaga soalnya per rt sewa sampai -+ 60jt, perdesa bisa sampai 300jt++ untuk semalem, yg menengah kebawah kupingnya"
@NevNevershine,"Ada tetangga putar musik keras aja ga betah, tapi masih dimaklumi selama masih di batas wajar, tapi kalo udah kelewatan ya beda cerita."
@ekosunarya7766,"Sok nge dj, taunya cuma lagu benny benassi sama koplo "
@ayeshaegha0201,"Saya asli orang malang dan malang jadi barometer/pusatnya sound horeg. Sound horeg di malang diadakan di tempat karnaval/penyewa sound yang panjang rute nya hanya kisaran 1-4 km saja, dengan adanya acara sound horeg juga menggerakkan roda umkm serta ekonomi lokal dan bila sound horeg diidentikkan dengan sdm rendah mungkin kurang tepat karena mereka pegiat sound (owner dan penyewa,penonton) banyak dari kalangan mampu, berpendidikan dan punya banyak uang karena sekali sewa kisaran 20-50 juta dan nilai sound dr pemilik sound bisa miliaran rupiah. Memang ada stigma/sisi negatif dan itu tidak bisa dipungkiri tetapi semua elemen yang terlibat sudah mengerti resiko dan dampaknya jika terjadi kerusakan panitia juga pasti lgsg memperbaiki dan biasanya memang tidak diekspos. Segala sesuatu ada plus minusnya jadi nikmati saja dan jika tidak suka tidak perlu mencela apalagi membawa soal SDM atau suku"
@twokaizer2452,Mereka dikatain SDM rendah aja bangga 
@rerimuhammad,"Sound Horeg ini saya pernah dengar entah di 2022 atau 2023, dan 2024 menjadi titik puncak dalam hal ini. Ini sering saya lihat beritanya sampai bla bla bla, dan pernah mengalami beberapa sampai keingat kalau dilihat dari segi fisika. Kalau dilihat, bagian ini masuk ke efek doppler di mana ada pergerakan antara frekuensi deteksi dan frekuensi sumber, dan kalau diperhatikan ada beberapa bagian di mana sound horeg memiliki suara dengan desible atau hertz tinggi, bahkan sampai agak bingung bagaimana menjelaskannya. Sisanya merenung akan hal ini dan kurang lebih begitu"
@ajimiswaji,"banyak yg miss inponya , langsung terjun ke malang wawancara cek cas cus , ojok modal potongan video media mental sosmed iku lek"
@yoogsa,"Selama tau tempat dan waktu sebenarnya ga masalah. Nah masalahnya adalah ""Mereka"" tidak memperhatikan keadaan di sekitarnya"
@gozeropro,"Jadi konsentrasinya sederhana sih, cukup pada premis ""Menangah Kebawah"" aja udah."
@Pedot_Del_Del,Konten baru.... Liat langsung aja... Yg kegangu juga siapa.. Yg nyewa orang daerah itu sendiri tapi yg keganggu orang kota atau daerah lain... .. Hahaha... Kocak lu bang....
@magneto5146,Saya uasssli warga jatim Cuk!!! Jatim tulen Rek!!! Saya berharap sound horeg menjadi budaya indonesia yg harus d lestarikan Rek!!!! Klo perlu sampai ke manca negara d planet ini Cuk!
@HiDreyy,"HOREG = GEMPA/BERGUNCANG ini bisa jadi acuan baru untuk para kontraktor kususnya drafter teknik sipil untuk menguji kekuatan struktur bangunan jadi ga perlu lagi AutoCAD, Sap2000, HEC-RAS, ETabs dan Plaxis. Mungkin suatu saat akan muncul software baru untuk dunia konstruksi yaitu HOREG menarikk ang ang ang ang"
@ihsanjoe,Makin lama makin kaya RC rc itu. Ray** Ch**
@riyalfaisalgaming4586,Kebabasanmu di batasi oleh kebabasan orang lain.  Simple padahall
@rohandiren9931,"Tidak mengerti dimana letak ""enak didengarnya"" dan ""Kenapa harus bawa keliling? Simulasi gempa?"". Mudah-mudahan gak ada kek gitu di Kalimantan, cukup sound system buat konser dan acara-acara nikahan doang gak usah pakai truck keliling"
@ahmadraffa9733,Selain donatur dilarang mengatur 
@AlfinMeyasa,Aslinya sound horeg gak salah sih kalau diputar di luar pemukiman atau jauh dari pemukiman seperti di sawah atau di lahan yang jauh dari warga gitu aja
@adebangunprakoso7915,"Oke gas... Oke gas... 



Lah malah bahas politik "
@bachtiarfarid9751,"Oh iya , kakakku rumahnya di malang , dia sendiri bilang tiap ngundang sound gini per KK diminta sumbangan minim 1jt , kalo gak mau 100% dikucilin , padahal dia sendiri gak suka nonton tapi dipaksa IUran buat hal gak jelas"
@Kliwon4,Terserah si soalnya kesukaan orang beda² tapi minimal cari tempat yg gak bikin orang keganggu gitu
@rasyaaditiya2401,Saya peicnta sound clarity . Sql adalah segalanga 
@themusic8605,memang harus ada relokasi karnaval sound hoereg seperti di buatkan jalan khusus yang jauh dari perumahan dan harus ada peran pemerintah di dalamnya
@alit5472,"pernah denger dan lihat video orang horeg ngasi tau harga dan pendanaan buat sekali ngehoreg ampe berpuluh beratus berjuta juta buat sekali tampil.. dan mirisnya dia bilang masyarakat suka jika horeg tersebut bikin rusak rumah dan fasilitas umum.. trus ada pas bagian penjelasan asal lagu dan musik dari horeg ini, yang biaya ""NGEDIT nyatuin lagu jadi panjang (yg nyomot dari yutub) dan NGEBASS BOOSTING ampe rata kanan ampe jebol jebol"" bisa ampe 2 juta sampe 10 juta... ""GILAK"" gw selaku tamatan anak IT dan tau seluk beluk pereditan duniawi, merasa IRI dan DENGKI dengan penghasilan KANG EDIT musik horeg ini.. modal nyomot nyatuin + rata kanan ngebass doang dah ngalahin GAJI gw 5 bulan... sekali lagi ""GILAKkkkkkk"""
@URIB_ANIMATION,"Sumpah kenapa harus ada parade sound horeg, dah cukup merusak telinga tapi jangan merusak rumah/fasilitas umum, jika tak muat berarti panitianya pinter karena soundnya gak bisa lewat"
@bramantyodarmawan,"Intinya kita semua tau, seperti apa kualitas orang2 yang suka sound horeq, sudah pasti orang dengan kualitas RENDAHAN. Karena sejatinya hobi orang kelas atas tidak akan mengganggu orang lain."
@BlackNWhite8,Siapa yang membiarkan Koh Stevan memasak sebelum GTA 6 
@febriwirayanto6173,"klo gw yg tinggal disekitar sound horeg, percayalah, g butuh waktu lama soud horeg itu pada rusak, pada bubar,    mereka aja bisa ngerusakin rumah orang, fasilitas umum yg mengganggu mereka, knpa kita g bisa juga lakuin hal yg sama, mereka juga kan mengganggu"
@에빈아난다,yg asli surabaya mana demen dngerin sound horek? wkwkwkw yg suka begituan tuh biasanya org blasteran atau imigran
@batonsafarikukuh,Sebenarnya soundhoreg itu udah ada sejak tahun 80an tp di kampung2jawa tengah cuma dulu masih pake aki krn waktu itu belum ada listrik. Mmg klw dulu mmg dicari sewa suara paling kencang
@arifhidayat5271,"Hati² bang, TNM kemaren bikin konten sound horeg banyak yang marah"
@wjm.official.account,"saya warga jatim daerah madiun, emang ada yg namanya sound horeg, tapi gak semua nya sesuka hati ketika cek sound, jombang ke barat yg punya sound system entah mau cek sound atau gimana mereka juga berpikir supaya tidak mengganggu masyarakat, contoh nya di kediri, ada owner pembuat box custom plus speaker, ketika sound mereka jadi atau selesai perakitan, mereka akan mencari tempat yg lapang jauh dari pemukiman penduduk yakni di sawah atau lapangan luas untuk cek sound, jadi jangan disamakan semua ya dek ya, terutama yg suka bilang sdm rendah, emangnya yg ngaku sdm tinggi udah ngapain aja buat negeri ini?"
@bachtiarfarid9751,"Yg paling parah di banyak daerah acara gini pas adzan pun suara tetep dikencengin , lewat depan masjid pas ada orang sholat pun tetep gak dipelanin , Parah"
@agriansyahq.b850,"Saya gak suka Sound Horeg sih, tapi tolong ntar kalo Bahrain maen ke Indonesia tolong banget ini mah, tolong maenin Sound Horeg nya di depan Hotel Bahrain, kalo perlu 100 Truck maenin tuh Sound Horeg. Hehehe"
@dokumentasi0135,"lumayan keren sih analisis datanya, pake literatur dari jurnal pula, lanjut kuliah lagi bang"
@Ken.Chanel,Anda kebiasaan hidup di kota yang tidak kenal budaya gotong royong guyup rukun antar masyarakat atau tetangga...
@roisrosidhin9391,"Yg dilewati sound itu penyewa sendiri,udah ada persetujuan daerah setempat.bukan langsung tiba² bunyi . panitia sudah mempersiapkan. Berita nya aja yg gk jelas....️"
@alfonsusenggarbramantyo381,"pas lewat gw pengen bilang ""semoga tu spiker konslet"""
@HIDAYAT-eo3hy,Banyak yang salah paham tentang sese orang
@gath-g6r,"gara""  bgmnya jd kerasa lg nonton tmm .
teruskan bang bikin video"" gini"
@ridhobaihaqi144,"Horeg eksis. AC-130 USAF: ""40 mm is ready!"""
@bagus15alfandi29,Vidio serius gini kasih seminggu 1-2 kali bang
@simonaries5782,"Blh aja ada sound horeg tp hrus dinyalakan di lapangan luas dan jauh dr pemukiman biar tdk mengganggu masyarakat di rmh terutama balita, org lanjut usia, org sakit, anak sekolah di kampung."
@ravencronwell409,Kalo sahur pake aja sound horeg
@kevinhidayat5991,Alhamdulillahnya desa saya jika karnaval 17 Agustus jarang yang namanya pawai sound horeg karena kage kami tau apa yang warganya rasakan
@frashthetriangle610,Gue sih netral aja.Sound Horeg  Gak begitu masalah selama Tempatnya tepat.Kalo Ngomongin SDM Rendah atau SDM Tinggi.Citayem Fashion Week dulu juga Mirip-mirip sama Sound horeg yang sekarang
@Zxyel,"Kakak saya punya sound horeg tapi gk digunain gini buat kerja sampingan aja kadang dibuat acara kayak sholawatan, nikahan, tahlilan, dll."
@XUGAG,bang sini main ke malang selatan ( kabupaten malang) surga nya sound horeggg. 
@MediHendra47,Coba klian bgtu d kalimantan hancur tu sound camkan itu
@toxicman7964,"ibuk gwa stroke , dan tempat start tiap karnaval pasti depn rumah gwa pas , terus gwa harus gimana ya trima nasib aja, dan sound horeg itu pasti bersiapnya -1 hari sebelum karnaval udah baris di depan rumah blum saat test sound , tambah lagi kemarin pas 17 agustus ternyata karnavalnya mulainya jam abis magrib tapi dari siang udah pada nyala soundnya , mungkin orang2 yang nonton pada suka soalnya mereka nonton cuma beberapa jam aja .cuma minta doanya aja semoga ibuk gwa cepet sehat"
@orangbaik3154,otak gue masih belum terbiasa liat lu srius bang :D
@banksat30,"Intinya harus diregulasi..kalau udah ada regulasi yg jelas tp panitia + penyewanya masih ngeyel, suruh ngadain di tengah laut selatan aja biar pesta sama nyi roro kidul sekalian"
@paomaddhen6205,Mayan.. Sound jadi konten.   chuan..
@PemburuHoregPandaan,"kalok masalah soal ngerusak atau membongkar apapun itu, supaya sound systemnya bisa lewat,, itu pasti diganti panitianya yang sewa soundnya yang membokar atau mengganti kaca yang pecah tau genteng yang berjatuhan pasti diganti panitia.."
@hkariono3164,"SOUND HOREG INI SUARA DAN GETARANNYA TERLALU KERAS, RADIASINYA BISA BIKIN KOPYOR ISI KEPALA, TOLONG DIMAKLUMI KALAU ORANG2 INI SULIT DIAJAK KOMUNIKASI"
@IRAKAS_Channel,PADAHAL KALAU DIPIKIR2 BUDAYA DISCOUTIC DENGAN PROFESIONAL SOUND AUDIONYA JUGA KALAU DIUKUR PAKAI ALAT DB METER JUGA MELEBIHI KAPASITAS PENDENGARAN DALAM SUATU RUANGAN TAPI MEREKA JUGA ASIK2 AJA KAN... JUSTRU KALAU TIDAK KENCANG MALAH KURANG.... MEMANFAATKAN POTONGAN VIDIO SOUND HOREG DEMI ADSENCE....  YOUTUBER GAK MODAL
@hiraimomos9009,"tiap orang punya hobi yang berbeda, jadi jangan memaksakan orang agar punya hobi yang sama. Apalagi hobi itu sampai merugikan kita dengan hobi kalian yang menurutnya aman2 ajah, itu salah satu murni ketololan"
@Begaljemuran,keren kak stevan young konten kek gini
@arjunafarm6563,Kemarin kamar jery sekarang siapa lagi ini 
@muhammadimamtaufiqimam7653,"setuju lur, aku darjo anti sound horeg, masio bapakku nduwe sewan sound system"
@AnggaSptraa-ch6dh,Dengan banyak nya yang tidak suka dan ngehujat tidak akan ngaruh kepada hiburan sound horeg buat warga jatim kususnya dimalang karena dengan persetujuan masyarakatnya panita dan surat izin yang jelas dengan kesepakatan yang sudah ditandatangani banyak pihak sound horeg akan tetap berjalan tanpa meperdulikan orang orang yang tidak suka karena sound horeg sudah ada sejak 2016 sampai sekarang
@rizkione9918,Yg nyinyir datang langsung saja agar tahu sebenarnya di lapangan
@novanoplekklewangvlog8761,"Wes ta mas-mas seng do udur, ya lak sakiki dikandani alus jare kesenggol mending pikiren lak sak walik'e ae kro posisi wong2 seng kontra wi ngopo kok pnggh gak demen? Wes ta mas ""berkaca jauh lebih baik sebelum berkata""."
@faizsanjaya2601,BENCI PENGERAS SUARA YANG TERLALU KERAS
@umibozu4251,"Saya orang trenggalek jatim, yah kabupaten pesisir kecil lah kalo kalian nggak tau. Dan saya sadar bgt ketidak sukaan orang diluar jawa terhadap trend2 orang2 jatim misal kayak sound horeg, jaranan yg ada kesurupan2 aneh2, atau perilaku2 norak atau bisa dibilang sangat kampungan dan mencerminkan sdm rendah, saya paham bgt keresahan itu karena saya pun juga risih, miris, dan se tidak suka itu pada hal2 kayak gitu. 

Tapi percayalah kalian orang2 non jawa, yg suka memukul rata kalo orang jawa pasti kayak gitu, yg suka nyela2 dikit2 jatim, dikit2 jawa, apa2 ngomong jawa yg jadi sasaran, saya percaya 100% kualitas kalian nggak beda jauh dengan yg kalian cela, cuman beda tipe aja"
@Ryz829,"bawa ke ultras festival, pasti dibilang kurang nampol bass nya"
@gendukherex8908,"Mas young mohon maaf kalau mau buat konten seperti ini tolong di dalami sedalam dalamnya biar tidak ada miss seperti anda bilang kalau sound horeg keliling sesuka mereka, TIDAK. sound horeg itu disewa oleh masyarakat satu desa itu disewa per RT dan sudah di setujui oleh masyarakat penyewa tersebut dan lembaga desa. Nggk mungkin sound horeg keliling se enaknya walaupun hobi. Tolong di perjelas stetmen anda mas young dalami cari beberapa sumber langsung dari owner sound sound tersebut, ada di youtube banyak kok biar tidak ada lagi yang salah faham yang belum tau. Dan sukses buat mas young lanjutin kontennya dan kedepannya semoga di dalami dulu mas"
@yans619,"Jadi Inget kata pepatah: makin pintar seseorang makin pendiam & peka terhadap sekitar.
Jadi kalo suaranya separah itu artinya apa?"
@EmiSenseiArt,"Musik latar yang di guanain, malah keinget Chanel Jean dari ""TNM"""
@didikfauzi3973,Cek langsung ke lapangan mas biar gak gagal paham
@MONSTERS-x3d,"Berisik si terganggu, muncul waktu pawai 17-an di tempat ku, waktu bulan Agustus. Dan itu mengganggu pendengaran si, besar banget suaranya, dri jauh aj dh kedengaran jarak puluhan meter apalagi dekat ny, saingan sound hajatan. Sound hajatan berjalan itu. Semoga ad tindakan tegas untuk mengatasi sound horeg ini"
@ShionMegumi,"alhamdulillah nya di daerah saya msh bebas dari para perusuh, tp coba aja main sound horeg dsni, siapa tau ada mandau terbang ntar woakaowkwwowk"
@Pensi_anjay,"Bang mau tanya, maaf sebelumnya bukanya gw lancang atau GK memperhatikan vidionya atau pertanyaan gw gak nyambung sama vedionya, cuman mau tanya sound efek vidio ini judulnya apa?"
@arysetyawan4110,"sound system not supposed to moving around, Kill THISS TRENDS"
@qodjakanauval9917,"Gw ga suka yg serius bg, gw suka yg lucu2. Hidup gw udah cukup serius. "
@ZxZs-zuy87,"dri pda cuma liat dari media sosial, mending kita terjun lngsung ke lokasi dan bertanya lngsung ke pelaku'' sound horeg ini, dan bertanya ke masyarakat yang ad di sna, biar jls kebenarannya, sya sndiri jga penasarn karna isu'' yg beredan..."
@blok5298,Nyenggol bisnis milyaran hati² bang lu di bicarain di grup² perhoregan
@fiveszee,"mau dibilangin kayak apa pecinta sound horeg tuh susah dibilangin
dikasih tau yang benerr malah diserang"
@Ilyas-ty6cy,Cosplay jadi bang Ferry lagi lol.
@kangtroll496,mengangu karna bukan di tempatnya malah keliling di mana penduduk padat
@abangteror7109,"Sound horeq masih ada sisi positifnya bg, contoh buat ngusir VENOM"
@Brandalpopiez11,Nyatanya sound horeg di sewa di bali...apakah bali juga termasuk sdm rendah??
@AsepMustofaIkhwanulJamil,"Wahai pemerintah, gak ada niatan bikin undang-undang perkara polusi suara kah? masa unggas ayam gampang banget dibikinnya
tapi yang perkara kayak gini gak diurus, merusak rumah, bangunan, kendaraan orang lain loh...
*Perkara merusak jembatan aja, kalo enggak viral, GW YAKIN GAK BAKALAN DITINDAK ITU..."
@gaspolll826,"BANG ADMIN JGN HERAN ,, SUDAH KODRAT NYA YG NMANYA MANUSIA ITU MAU NYA REBUTAN BENER , ( TPI BENER NYA SENDIRI)   BAHKAN PENGAJIAN PUN DI DAERAH JATIM JUGA RUTIN NMUN TIDAK HARUS DI PUBLIKASIKAN KRNA IBADAH URUSAN DAPUR ,    MAAG BANG YG MERASA BER SDM TINGGI DAN KALANGAN MNENGAH KE ATAS , SERTA YG MERASA HIDUP DI PINGGIRAN KOTA , COBA  APKAH KALIAN MAMPU MENGADAKAN ACARA SOUND SPERTI DI JATIM SCARA RUTIN DAN TANPA JEDA DI STIAP KCAMATAN ??? ASAL TAHU AJA SOUND KONSER DUNIA PUN JUGA BNYAK YG ALAT SERTA KOMPONEN NYA SAMA DI PAKAI SOUND DI JATIM ,,  MAAF BANG NATIZEN KBANYAKAN RECEH DAN MUDAH DI DOKTRIN MEMBENCI DAN MENCELA , INGAYLT LAH MYORITAS ORNG INDONESIA MYORITAS MUDAH TRBWA ANGIN TIBA2 BAWA2 SUKU, YG PDHAL SNGAT SENSITIF , DAN BISA MNJADI PROPAGANDA MEDSOS ,  BANG STIAP ACARA SPRTI ITU SUDAH DI MUSYAWARAH NYA MISLKAN ADA ORNG SAKIT DAN BAYI , BISA TAHU DIRI BGAIMNA BISA AMAN ? DAN ANEH NYA NATIZEN GK TIBA2 MNCELA SUATU ACARA YG PDAHAL MEREKA TIDAK TINHGAL BRDA DI AREA TRSEBUT , KAN ANEH ? "
@dikialfikriraRa,Cuma tau dari konten terus di konten datang langsung lebih baik 
@BudiSetiawan-c7u,Pro kalau kalian dengerin tuh horeg pakai headphone atau headset
@wargabarbar11,Lebih murah ke ibiza sih daripada nyewa sound horeg
@rohmanclintisan8072,"Ni bocah kek nya kemarin nyenggol alesan gara² g suka tetangga stell sound kenceng², sekarang senggol acara karnaval an beda konsep, nyari rame doang mas?klo gasuka² aja, ga usah ngoceh ,ganggu lu jg kaga"
@Bdxproject,KAMAR STEVEN YOUNG KAH WKWKWKWKW
@ariesgaming5296,"Yang nyewa warganya,tp yg disalahin sound horeg nya.KOCAK²"
