user_id,comment
@fayfaizal6443,"Mereka berpikir dengan mereka mengeluarkan uang sebegitu banyakanya dan sampai di jakarta adalah tanda mereka sangat keren, mereka berpikir semua orang menyukainya. mereka lupa kalau uang gak bisa beli kelas. Pemikiran dangkal dan sudut pandang sempit,  ignorant dengan lingkungan. Gak mikir kondisi rumah yang punya bayi maupun lansia, polusi suara atas nama kesenian. Atas nama ""kami ini orang kabupaten, orang kecil"" bertindak semena-mena, mana didukung lagi sama pemerintah, Gila! Harusnya ada regulasi dari pemerintah, g sepatutnya mereka turun ke jalan atau ada didekat pemukiman, kalau sound doang mending sewain ke konser yang jelas ada musisi dan performer di event musik. 

Sebagai orang jawa timur, kalau kalian pengen referensi karnaval kesenian yang beneran kesenian. kalian coba cari kesenian ""Daul-daul madura"". Kesenian yang berbudaya beneran. Berharap orang Jawa timur bisa menunjukkan budaya mereka sungguhan. Jawa Timur banyak suku-suku yang punya budaya kesenian yang lebih baik dari ini."
@agusdear1,"Ada pepatah jawa ""desa mawa cara negara mawa tata"". Kalo bagi masyarakat disekitar sana OK-OK saja soal sound horeg ya sudah biar mereka yang menikmatinya. Bagi daerahku yang kurang umum soal budaya sound horeg cuma bisa senyum sama geleng kepala. 

Di daerahku kalo mau adu bising sound system, para komunitas rental sound system biasanya mengadakan event ""nyetel bareng sound system"" di lapangan pinggiran yang agak jauh dari pemukiman penduduk. Eventnya gratis bisa dihadiri ""yang mau mau saja"", jadi tidak ""mengganggu"" bagi yang kurang suka sound horeg."
@muliabakery8468,"Bayangin diliput media internasional, image Indonesia bisa mirip prindafun dimata dunia"
@jorengespyur,"secara pribadi saya tidak berminat tapi juga tidak terganggu dengan adanya fenomena sound horeg ini. pendapat pribadi saya mungkin memang harus ada aturan tertentu yang mengatur agar adanya sound horeg ini lebih tertib dan teratur, misal ada aturan volume maksimal berapa ketika ada di lapangan atau saat sedang karnaval keliling jalan. waktu awal2 viral dulu desa tetangga ada yg mengundang sound horeg BREWOG AUDIO dilapangan, saat itu seminggu sebelum acara pihak panitia mendata warga yg ada penyakit jantung dan lansia untuk diungsikan sementara ke radius wilayah yg aman. acara berjalan dengan lancar dan tidak ada kerusakan apapun krna kebetulan acara memang ada dilapangan luas, sekeliling adalah sawah dan kebun warga, jauh dari rumah2 warga. intinya lebih baik jangan dilarang tp dibuatkan saja aturan tertentu agar lebih tertib. saya pribadi jika ada acara sound horeg mungkin tidak akan menonton dan cenderung menghindari, tapi tidak membenci. kesenangan orang memang banyak macamnya, jangan salahkan mereka tp cari solusi terbaik agar kesenangan itu juga tidak mengganggu orang lain,. salam santun..."
@baihakikiki3238,"saya orang Jakarta sangat suka sound horeg, terimakasih kedatangannya sound horeg Jatim"
@WRahardjo1993,"""Di Malang kalau genteng rontok itu udah biasa mas. Kalau dibilang sound horeg SDM rendah, sori, kami sudah sampai Jakarta""

Yee kocak. Ya emang kudunya kaya di Jakarta tuh, nyetel horeg di jalan, di tempat luas yang jauh dari pemukiman. Baru tahu ini gw ada orang ngerusak pemukiman warga malah bangga."
@Fithozee,"Negara seperti di Jerman yg padahal sedikit tempat wisatanya tapi turis sering berdatangan karena dari perumahannya saja sudah sangat asri tidak ada polusi suara, apalagi sampah."
@SunClouds12,"Tetap kontra, gaduh dan riuh banget. Minim empati yang punya horeg"" ini.  Bilang 1% 2% doang tapi itu opini sendiri, mana buktinya kalo yang dirugikan persentasenya segitu???"
@kabupatenmalang,"Volix juga harus membahas, aturan yang mengatur sound horeg, berapa desibel yang boleh di dengarkan, aturan jam sound horeg."
@AhmadKRB,"TIDAK HANYA SOUND HOREG

Kegiatan yang mengganggu orang lain dianggap sebagai SDM rendah karena menunjukkan kurangnya kemampuan dalam berinteraksi sosial secara positif. Individu yang mengganggu sering kali tidak mempertimbangkan perasaan dan kebutuhan orang lain, mencerminkan:

Kurangnya Empati: 
Tidak mampu merasakan atau memahami perasaan orang lain.

Keterampilan Komunikasi yang Buruk: 
Kesulitan dalam berkomunikasi secara efektif tanpa konflik.

Ketidakmampuan Mengelola Emosi: 
Sering kali terpengaruh oleh emosi negatif yang mengarah pada perilaku mengganggu.

Ya, mengganggu orang lain bisa dianggap sebagai tanda rendahnya sumber daya manusia (SDM). Hal ini sering kali mencerminkan kurangnya empati, keterampilan sosial, dan kesadaran akan dampak perilaku terhadap orang lain. Individu dengan SDM yang lebih baik cenderung menunjukkan perilaku yang lebih positif dan saling menghormati."
@orangtampan6675,"Kenalpot bising di larang karena kita tau itu merugikan orang lain, tapi ini lebih bising lagi sampe bikin kaca pecah genteng rontok, dan beliau ini berani bilang rumah rubuhpun gapapa, dan mereka kasih izin atas perbuatan yang jelas jelas merugikan orang lain. Negara kita sakit, semoga cepet sembuh Indonesia."
@muhammadluthfihakim6129,"Sekarang coba ganti wawancara para korban yang rumahnya hancur, bayinya meninggal, dst. biar adil. Dan minimal kalau punya logika dipakai lah apa dampaknya, positif atau negatif, baik atau buruk. Bukan hanya untuk kepentingan pribadi tapi juga orang banyak. "
@MakhlukTerang,"kontribusi sound horeg untuk negara apa? 

kata orang orang membantu ekonomi orang sekitar dan anak anak yatim piatu tapi PC temenku rusak dia kena getaran kuat sound horeg, dia komplain gak di peduliin malah dilawan bawa satu rombongan (udah kyak geng motor atau geng tawuran)

padahal temenku tuh pejuang freelancer dari online nyari $ untuk keluarga dan juga itu membantu ekonomi seluruh rakyat indonesia karena jadi pejuang visa yang bantu nurunin harga dollar

itu baru temenku, belum yang lain yang jadi kena masalah kesehatan maupun kerusakan lainnya, mau komplain dimana dan belum tentu diganti rugi + paling bawa rombongan lagi fans"" sound horeg buat nolak ganti rugi 

coba liat india, walaupun mereka itu lebih gede sound horegnya tapi mereka di persawahan atau di tempat jauh dari pemukinan disekeliling ada banyak pepohonan"
@hahahuhu46,"SDM TERENDAH DI INDONESIA, YA PENDENGAR SOUND HOREG INI, SEMOGA KALIAN CONGEAN AMPE IJO, AMIN"
@YAOLChannel,"Siapa bilang yg komen negatif itu hanya netizen saja. Contohnya saya, di kampung suami saya pas acara carnaval subhannallah kencengnya na'udzubillah . Rumah sampai getar2, itu betul2 mengganggu loh mas  kesal sekali saya."
@Ryoo2279,0:48 oalah kesalahan berfikir ternyata
@ahmadzaco7361,"Ayo dong media"" ibu kota ikut liputan acara pesona gondanglegi dong "
@edisanjaya5483,Ini baru chanel yg perlu di apresiasi.. Lgsg cari informasi ke lokasi.. Bukan cuma nyari info di tiktok... Yg di publish minusnya doank
@talkhayr,Sdm tinggi tidak mengatakan orang lain sdm rendah. Justru orang yang men judge tanpa tau fakta dan realita di lapangan malah yang IQ nya rendah.
@chanwalk6774,"Patut di apresiasi kontennya, terjun langsung ke lapangan gk kayak yang lain cuma dapat info dari CUPLIKAN NEGATIF & KATANYA"
@selimutbening4153,"Dampak mendegarkan suara terlalu keras
・Kerusakan indera pendengaran yang dapat menurunkan pendengaran baik bersifat sementara maupun permanen atau ketulian
・Meningkatkan denyut nadi, konstriksi pembuluh darah perifer terutama tangan dan kaki
・Terganggunya sensoris dan denyut jantung
・Meningkatkan risiko serangan jantung meningkat

lalu, manfaatnya apa?"
@tkijatimofficial,"di kota malang saya jual asongan dan disetiap ada festifal karnafal & sound horeg alham dulillah jualan saya pasti slalu habis meningkat 3x lipat. & warga sangat antusias 
i love you. kota malang "
@Mk74surabaya,Saya sebagai penyewa sebenarnya karnafal dimalang itu bentuk adu gengsi.saling menunjukan kekuatan ekonomi antar rt. Percayalah persaingan antar rt di malang selatan itu mengerikan. Mereka berlomba lomba bekerja keras untuk menunjujan dominasi ekonomi sosial sebuah RT. Meskipun kebanyakan dari petani tapi mereka saling menunjukan ekonomi super mereka.  Apalagi saat ini musim cengkeh dan kopi pada saat bulan 8 maka itu akan sangat pesta pora. Ingat kopi dampit terkenal seluru dunia mengakui. Gondang legi dengan kekuatan tebu nya. Tirtoyudo dengan pisang emas dan salak. Sumber manjing dengan kekuatan lautnya yang di expor keluar negri. Ampel gading dengan kekuatan peternakan kambing etawanya. Turen dengan sektor swasta. Dan lain lain. Jika kakian datang ke malang pasti disana akan sangat terlihat persaingan ekonomi. Sesama rt mereka sangat erat. Tapi antar rt mereka akan sangat saling menyindir. Jadi inilah penyebab kenpa sound dimalang sangat populer ya karna masarakatnya adu gengsi antar rt. Dan sampai saat ini untuk mencari rt yg di isi orang orang kaya pasti mudah di cari dengan cara mendatangkan sound saja tau. Dan untuk mencari tau rt yg di isi penggangguran dan pemalas pasti tau dengan bagaimana cara rt itu bisa mendatangkan sound apa tidak. Kalau tidak bisa mendatangkan maka fix rt tersebut di isi penggangguran. Orang orang pelit. Orang orang ruwet. Fix itu kenyataan di kota kami
@azzathukangpotensio6596,terima kasih telah meliput dunia sound horeg & membuat berita yang sangat manfaat agar semua bisa mengerti penjelasan
@setelanchannel,"Nah, berarti warga pengen rumah nya hancur. Jadi sebaiknya ditutup aja aliran bansos ke Jawa Timur (Provinsi salah satu terbesar realisasi dan penerima bansos). Toh, mereka gak niat bangun kan?"
@kazutozoro9245,Ayo di liput ada Pesona Gondanglegi. Acara karnaval top
@AcazAiden,"Semua ada komunitasnya mau sound horeg, dangdut, dj, pemabuk, LGBT, geng motor, jambret, copet, pasti ada aja perkumpulannya dan menyukainya

Intinya gimana cara kita memilah mana yg baik & benar "
@hcfindependent268,Yang punya Bp audio ini juga orangnya dermawan....setiap tahun bagi2 thr untuk ribuan masyarakat malang
@ToraOni-m9t,"Alhamdulillah untungnya sound horeg ini tidak ada di daerah saya, jg disini dilarang keras mengadakan acara tsb"
@timurwahyuwidianto2422,"POV sebagai salah satu warga kabupaten Malang yg sudah terbiasa hidup berdampingan dg sound horeg.

Sound horeg sendiri sbenarnya sudah lama ada di Malang mulai tahun 2000 an, dulu menyebutnya sound system saja (spiker ombro) dg tatanan rapi dblakang truk dan dilapisi kain hitam tanpa lighting sperti skrg 

- Sound horeg biasannya ada diacara-acara tertentu semisal hajatan, acara hiburan masyarakat (kuda lumping, bantengan dll) & acara karnaval.
- Sound horeg tidak akan tiba-tiba datang & membunyikan sound mereka tanpa ada pihak yang mendatangkan/menyewa sound tsb.
- Dalam acara karnaval, H-3 Bulan biasanya akan dilakukan sosialisasi/technical meeting mengenai bbrapa hal terkait rute karnaval, kebutuhan dana & pembentukan panitia acara.
- Melakukan identifikasi masalah / dampak dari acara karnaval meliputi jalan yg akan dilewati, warga yg terdampak (balita & org sakit) serta melakukan penyelesaian untuk mencapai solusi yg terbaik dari case yg ditemukan. (jika dirute yg dilewati banyak balita & org sakit maka rute akan digantu atau pihak keluarga tsb yg mengungsi ke kerabat terdekat ketika acara brglangsung)
- Jika diakhir acara terdapat dampak serta kerugian bagi warga sekitar atas acara tsb, panitia & perangkat desa selalu bertanggung jawab penuh terhadap kerugian tsb (contoh : genteng ambrol, dinding retak, kaca pecah, perusakan fasilitas umum serta sampah yg menumpuk di akhir acara) note : jika harus merusak fasilitas umum maka perlu dibicarakan dg pihak terkait terlebih dahulu & mencari solusi yg disepakati.

Beberapa sisi positif atas berlangsungnya acara sound horeg diantaranya :
1. Keuntungan bagi pedagang umkm sekitar karena penonton dalam tiap acara karnaval sgt banyak
2. Keuntungan bagi pengusaha sound sistem
3. Keuntungan bagi pengusaha sewa kostum
4. Keuntungan bagi pengusaha MUA
5. Keuntungan Lahan parkir bagi karang taruna / kelompok RT
6. Keuntungan bagi usaha toilet umum dadakan
7. Keuntungan bagi konten kreator (baik yg akan post dr sisi positif/negativ, krn potensi menarik viewers sgt tinggi)
8. Menumbuhkan kekompakan & guyub rukun bagi peserta karnaval itu sendiri.


Kemudian untuk sisi negativ atas berlangsungnya acara tsb diantaranya :
1. Iuran tinggi (namun biasanya bisa dicicil pertahun)
2. Potensi kerusuhan & tindakan kriminal tinggi
3. Melupakan waktu sholat

Ya, itu beberapa poin yang bisa sy ketikan disini mengenai pengalaman / sudut pandang saya sebagai warga kabupaten malang yg sudah terbiasa berdampingan dg sound horeg. Untuk penilian kalian org luar Malang mengenai kami, ya itu hak kalian, Silahkan. Tp buat sy pribadi ini bukan masalah besar yg perlu diperdebatkan, krn pada intinya semua dampak yg ditimbulkan juga ada yg bertanggung jawab & bisa diselesaikan dg baik selama ini."
@IndiPuspita-k4m,"Pemerintah harusnya melarang sound horeg, karena banyak sekali merugikan"
@pakdesoer8255,LUCU PENJELASANMU MAS MAS WKWK...GAK SEMUA ORANG SENENG DAN SETUJU. BODOHNYA MENORMALISASI HAL YANG MENYIMPANG.
@maniacjoe3088,"Kalo terbukti banyak hal positif nya, kenapa masih haus pengakuan?"
@hidayaturrahmat3973,Inilah pekerjaan menyenangkan diatas penderitaan orang sekitarnya  SDM kebalik
@Sukasukanih88,Bawa di daerah primitifmu saja. Jangan bawa ke kota.. Indonesia mau maju. Jangan dibuat mundur.
@imamshaka4507,"Alhamdulilah....Sound Horeg cuma Undangan Sebentar Doang,setelah itu Pulang
Bukan Jadi Hiburan Tetap Warga Jakarta
Dan Semoga Warga Jakarta Tidak Memilik Sound seperti itu dan Agar Bisa Nikmati Istirahatnya Dengan Tenang dengan Suasana Sunyi Senyap saat Siang atau Pun Malam
Karna JAKARTA KOTA TAK PERNAH TIDUR (Ada yg Kerja Pagi dan ada Pun Kerja Malam malam)"
@rousyanfikri8761,Tgl 26 Oktober besok sebagai warga Kab.Malang mengundang Volix media untuk ikut meliput salah satu karnaval akbar yang saat ini sudah menjadi event tahunan nasional kemenparekraf di Malang #full horeg #full Costum karakter
@obethboku681,"Sebenarnya masyarakat menilai ini dari sisi mana. 

Bagi yg menganggap ini positif ya terima konsekuensinya akulturasi budaya over kebisingan, joget²an DJ²an keterbukaan pakaian menjadi normal di masyarakat. Bagi yg menganggap ini negatif juga terima konsekuensinya tidak ada joget²an DJ²an dan meminimalisir normalisasi ketebukaan pakaian.

Setiap orang punya kepentingan masing², seperti konsumen rokok, konsumen sayur mayur, konsumen alkohol, konsumen teh solo, konsumen jus, konsumen sabu², konsumen jamu, kita tau pilih mana yg buruk dan yg baik buat kita maupun sekitar.

dan saya memilih untuk tidak setuju melestarikan sound horeg ini, tidak memaksa kalian buat tidak setuju juga hanya menyarakan untuk berfikir."
@munarmunir661,"Pantes Indonesia belum maju dari awal merdeka, padahal pola pikir adalah hal dasar, tapi nyatanya dari pola pikir saja sudah nyampah, bangga lagi ! Salam sehat bersih bersih sampah untuk kemajuan bangsa !"
@sabilalrasyad6691,"إذا لم تستحي ، فاصنع ما شئت

Jika engkau tidak tau malu, maka berbuatlah sesukamu"
@rikunatsu72,"Gini loh negara negara sekelas swiss,jepang dll kebijakan tentang polusi suara aja dipikirin loh,ya karna dinegara kita kagak ada gituan jadi ya minimal hal layak gini jangan di normalisasikan loh,emang mungkin di jatim sana banyak yang suka ginian tapi ya gak semua juga,dan jangan bawa bawa kita ni orang desa,kabupaten,kampung apalah kagak semua orang desa nerima suara kayak gituan,untung banget budaya horeg ini gak nyebar ke provinsi selain jatim"
@rozakfassah7730,"Sementara kita coret Jatim dari list travel sampai horeg hilang, IQ EQ nya naik dikit aja. IQ 78 juga masih ketinggian buat Jawir"
@internisti007,Hanya dengan mengingat Allah hati akan tenang
@bryana9129,"G semua orang suka sound horeq mas,, tolong dong bikin undang-undang yg buat aturan masalah ini"
@BintangAdiPradana,Mantapp MAS KHOLID....Yang menilai sound horeg itu burukk....rungokno kupingmuu bolo seng senengane menilai buruk.
@iwnvideo4074,"yang komen rata rata penikmat sound brisik gini, tinggal tunggu aja pas lagi sakit terus ada sound brisik kaya gini gimana rasanya "
@nopekwan3774,"Ga semua orang seneng sound horeg mas apalagi lansia, orang sakit jadi klo bisa frekuensinya tolong agak dikurangin biar lebih amanah usahanya."
@pratamatamaw8653,"thank u Volix sudah memberikan perspektif baru tentang Sound Horeg, kembali ke hukum awal bisnis ada Supply ada Demand."
@ahmadumar363,"Di luar jatim jangan ya dek ya,, ini kawasan loss gk baperan.. Kalo masalah kaca pecah genteng rontok itu, kalo bukan dr penyewa pasti di ganti. & orang"" Tua/bayi sudah di kasih tau & sementara menginap di saudaranya..  Ini sisi lain yg harus netijen terima, mau ini itu. Kalo pun mines pasti sudah lenyap bos"" Horeg di jatim.. Sampai sini faham kah?"
@julianto3982,"Di tempat saya juga ada penyewaan sound gini cuman gak segede sound horeg jawa timur, terkadang masyarakat yg ikut iuran terus gak denger suara sound, atau kecil suka komplen. karena klo ada karnaval di Indramayu warga atusias karena ada kuda depok,ogoh ogoh, kuda lumping. orng orng pada suka pada joget juga"
@dhiosticker56,"chanel paling oke yg meliput sound horeegg.....rael langsung datang ke ouwner sound,,,,bukan yg comot comot dari chanel orang....mantap bossssku,,,"
@arif95-s4c,"Jujur aku suka konten ini mau turun ke lapangan langsung ....jadi tau yang sebenarnya sound horeg itu banyak positifnya..
Gak kayak chenel sebelah taunya lewat fyp tiktok terus nyinyir gak jelas..
Sukses selalu mas..
Salam dari fans brewog Jombang Jatim "
@wahyu5167,"Mas kholid ini salah satu operator kalau di wawancara public speaking nya bagus , good job mas kholid "
@danii3285,"banyak banget orang yg bahkan iq-nya saya yakin ga sampe 78, tapi kalo otaknya dibuat mikir pake logika sederhana aja, harusnya budaya ini ga diteruskan kalo sudah menimbulkan kerusakan, bahkan ada berita balita yg meninggal karena kena gelombang suara sound horeg. kalo masyarakat justru sesuai yg dibilang masnya di video, semakin rusak semakin suka, tandanya memang masyarakatnya memang rusak (destruktif), ga mikir panjang, dan impulsif. mungkin logika ini pun mereka mereka ini gabisa paham, yang jelas kalo budaya kaya gini masih ada dan masyarakat fine fine aja, Indonesia Emas masih jauh"
,Next liput Karnaval All In Bumirejo Malang Dampit 7 Desember 2024
@herimalang5458,Mantap penjelasan mas kholid
@roisrosidhin9391,Mantap.saya warga Jakarta terhibur.trima kasih sound Jatim 
@SulisWanto-l4f,"Jangan samakan kampung anda dan kampung kami

Kalau disini ada sound horeg..
Untuk kerusakan juga sudah ada anggaranya dari pihak penyewa 
Meraka juga sudah siap memperbaiki..

Terus apanya yg perlu di kritik..??

Sound horeg mengganggu masyarakat???
Kan yg nyewa juga masyarakat.
Sound horeg juga gk akan tampil kalu gk ada izin dari pihak yg berwajib dan juga yg terkait.

Teruss masalahnya di mana??"
@fanboyultima2632,"-_- kok bisa sih pada setuju, kokkkkkk bisaaaaaaaaaaaaaaaa "
@Tenanporajane,"Makasih min sudah terjun ke lapangan langsung ke narasumber, ngga cuma react video dan cuplikan"" Tapi ga pernah liat langsung dan nyimpulin seenaknya sendiri"
@CurhatanProgrammer,Play BMTH & SLIPKNOT biar bisa ambil hati penikmat genre lain. Jangan cuma DJ & Dangdut aja.. Keren sebenernya sound horeg ini.
@RisalatulMuawanah-th4ey,Sebagai tetangga nya mas Kholid ..aku bangga dan suka sama sound horeg ..
@arianti9903,Polusi suara dan anti kritik
@user-jt4sh4lj1v,"Dari tutur bicara masnya sangat sopan sekali & menghargai nilai luhur ,privasi orang ,TDK ada kata "" kasar memang didikan terbaik orang tua mana  coba yg ga bangga dgn masnya"
@sukasukayoutube9385,"Lebih baik di lakukan di tempat terbuka seperti lapangan , biar orang yang datang ke lapangan benar2 orang yg suka soundhoreg"
@imil6798,"sound horeg sebenarnya sah sah aja jika di tempat yang pas. Kalau ngeluarin suaranya di tempat gang-gang. ya berpotensi masalah. Setahu saya, sound horeg dengan audio frekuensi tertentu , jika sama dengan frekuensi alami benda benda sekitar, misal kaca, genteng, dinding, maka benda tersebut juga ikut beresonansi / bergetar. Nah ini ni yang bikin masyarakat rugi. Msalahnya, dari pernyataan masnya, kalau rumah masyrakatnya setempat bergetar, malah dianya katanya seneng, nah ini perlu diverifikasi.  Kalau benar ya okelah, tapi kalau gak benar ya ini ni masalahnya"
@saskarf7619,"Menurutku tentang sound horeg nya sendiri, jujur bagi aku yang juga suka sound sistem, mendengarkan sound horeg memang ada sensasi tersendiri. Cuma aku kalau ndengerin sound horeg, aku nggak berani lama  - lama. Jujur saja, aku ndengerin sound yang pake box turbo 18"" 6 biji aja aku nggak kuat, sesek dadaku. Memang sound horeg itu bukan untuk tipe semua orang, karena sound horeg itu dominan suara sub bass, sekali lagi ""dominan"" ya bukan ""cuma"". 


Di jawa tengah sebenarnya juga mulai ketularan tren sound horeg, cuma mungkin kalau di Jawa Tengah, acara karnaval sound horeg enggak sesering seperti di jawa timur. Alasan tersebut kemungkinan karena masyarakat di Jawa Tengah kebanyakan lebih suka hiburan rakyat, seperti pentas seni tradisional, atau sejenis konser. Jadi untuk sound system digunakan sebagai pendamping kemeriahan acara, dan untuk ukuran soundnya pun nggak sebanyak sound karnaval Jawa Timur.

Aku sendiri belum berani memberikan komentar mengenai sound horeg yang berada di daerah jawa timur. Karena aku sendiri belum pernah observasi dan mendengarkan sound horeg jatim secara langsung dilokasi. Karena sekedar nonton potongan video di sosial media saja menurutku masih kurang valid. 

Monggo sampaikan pendapat anda secara bijak."
@A8humanity,"pernah jalan"" ke malang waktu ada sound horeg kalo ga salah sound nama rentalnya Riswanda sama Maximal K5 suarane mantepp bgt, bener bener bikin muntah dulu tahun 2022 kalo ga salah waktu karnaval di pagak daerah stadion kanjuruhan sejak saat itu sampek sekarang seneng bgt sama sound horeg wkwk"
@Dorreman,"Kalo udah ngerusak, mengganggu itu gak usah dilanjutin. Nama nya merusak dan mengganggu mana ada yang baik.."
@mayadian3998,"gila editornya kelas banget 
boleh dong main ke malang sambil ngonten sound horeg"
@gilabola375,"Jangan sampe masuk jawa barat, mari kawal kawan kawan ."
@Aceh_kingdom,PRINDAPAN VERSI INDO NYAA
@DimasF1052,"aku di pihak yg kontra dengan kegiatan seperti ini, tapi setidaknya dengan video ini bisa memberikan perspektif lain terutama dari kalangan yg pro

Memang ada cara pandang berbeda sih diantara masyarakat ""SDM rendah"" dan ""SDM tinggi"" terhadap kegiatan seperti ini yg membuat keributan ini muncul, ditambah perbincangan di media sosial semakin membuat pro kontra ini semakin riuh"
@agungseptianardiprakoso3664,"yang di video seneng2 semua, hepi2 joget di depan sound segede gaban. narsum nya gak ada emosi jelasinnya, senyum lepas. bahwa kerjaannya mendatangkan hal positif kepada masyarakat banyak n menurut dia ini adalah pekerjaan terbaik dihidupnya


yang di komen2 video ini malah sebaliknya wkwk. kok bisa ya, kayak pas banget gitu ironi nya"
@dutasaurus8178,"sebetulnya kalo masalah hobi itu selera ya asal kebebasan km ga menganggu kebebasan orang lainn jg itu juga duit kalian sendiri. mungkin dalam pelaksanaannya harus ada koordinasi sm pihak terkait terutama warga yg rumahnya mau dilewatin sound horeg apakah mereka bersedia, dijelasin jg potensi yg akan timbul dan penyelesaiannya. jangan cm tanya ke kaum"" kalian aja, ada yg ganti rugi bukan berarti bisa seenaknya. terus juga tolong diperhatikan untuk keamanan pihak yg rentan seperti bayi, ibu mengandung, atau lansia. sejujurnya tempat saya tidak ada tradisi begitu ini cm sekedar masukan sj mungkin bisa dikaji biar tambah baik pelaksanaannya dan meminimalisir pandangan negatif masyarakat selain pecinta sound horeg, suwun"
